0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:48:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:48:58 +0530] "GET /firstlink HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:49:01 +0530] "GET /firstlink HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:52:14 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:52:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:52:19 +0530] "GET /firstlink HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:53:53 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:53:57 +0530] "GET /searchlink?searchquery=iphone HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:55:32 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:55:42 +0530] "GET /firstlink HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:57:18 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:57:40 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:57:54 +0530] "GET /RedirectionProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:13:58:11 +0530] "GET /RedirectionProject/search.html HTTP/1.1" 304 -
